[2025-11-15 00:00:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:01:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:01:19] [INFO] 版本检查: admin v -> v1.1.5, needUpdate: NO
[2025-11-15 00:02:00] [INFO] 版本检查: admin v -> v1.2.0, needUpdate: NO
[2025-11-15 00:02:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:02:29] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:02:50] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:03:00] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:03:00] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:03:01] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:03:04] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:03:14] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:03:33] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:03:41] [INFO] 添加许可证: K060-RXXB-QMHE-PQE2-4S33-DOH4 - 客户: 测试
[2025-11-15 00:04:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:04:24] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:05:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:06:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:07:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:08:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:08:59] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:08:59] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:09:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:10:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:11:13] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
[2025-11-15 00:11:15] [INFO] 版本列表查询: os=linux, arch=amd64, 找到 3 个组件
